Seq,Letter,Answer,Item,Category,Color,RNum,Num,Date,Count
6369,J,Maybe,Tiger,Animal,Purple,72.47,7,2020-11-26T08:00:00.000Z,1
6370,T,No,Hippopotamus,Animal,Purple,69.24,96,2020-12-06T08:00:00.000Z,1
6371,L,Maybe,Diamond,Mineral,White,2.4,56,2020-12-03T08:00:00.000Z,1
6372,X,No,Ruby,Mineral,Blue,12.68,69,2020-12-06T08:00:00.000Z,1
6373,A,Maybe,Moss,Vegetable,Brown,70.3,24,2020-12-16T08:00:00.000Z,1
6374,A,True,Quartz,Mineral,Red,83.81,42,2020-11-25T08:00:00.000Z,1
6375,E,True,Ruby,Mineral,Red,24.97,85,2020-12-05T08:00:00.000Z,1
6376,G,True,Gold,Mineral,Red,75.24,85,2020-11-24T08:00:00.000Z,1
6377,E,No,Algae,Vegetable,Red,89.01,10,2020-12-07T08:00:00.000Z,1
6378,P,Maybe,Flower,Vegetable,Green,39.89,39,2020-12-18T08:00:00.000Z,1
6379,L,False,Cactus,Vegetable,Green,91.48,22,2020-12-19T08:00:00.000Z,1
6380,O,No,Quartz,Mineral,Red,71.19,88,2020-12-07T08:00:00.000Z,1
6381,V,False,Shark,Animal,Blue,90.46,66,2020-12-12T08:00:00.000Z,1
6382,D,True,Lead,Mineral,Pink,13.3,96,2020-12-17T08:00:00.000Z,1
6383,E,True,Flower,Vegetable,White,17.11,39,2020-12-17T08:00:00.000Z,1
6384,F,False,Silver,Mineral,Violet,80.6,95,2020-12-20T08:00:00.000Z,1
6385,N,Maybe,Horse,Animal,Violet,17.95,17,2020-12-04T08:00:00.000Z,1
6386,T,So,Insect,Animal,Gray,56.17,77,2020-11-24T08:00:00.000Z,1
6387,R,So,Quartz,Mineral,Pink,52.12,46,2020-12-06T08:00:00.000Z,1
6388,Q,True,Whale,Animal,Indigo,74.25,33,2020-11-24T08:00:00.000Z,1
6389,H,True,Fern,Vegetable,Black,60.63,85,2020-12-23T08:00:00.000Z,1
6390,Q,No,Dog,Animal,Pink,62.49,29,2020-12-15T08:00:00.000Z,1
6391,U,True,Grass,Vegetable,Indigo,52.65,9,2020-12-13T08:00:00.000Z,1
6392,B,No,Antelope,Animal,Blue,26.59,16,2020-12-12T08:00:00.000Z,1
6393,K,Yes,Jade,Mineral,Green,10.15,51,2020-12-16T08:00:00.000Z,1
6394,H,Yes,Sheep,Animal,Pink,99.36,36,2020-12-09T08:00:00.000Z,1
6395,S,No,Shark,Animal,Purple,97.7,65,2020-12-15T08:00:00.000Z,1
6396,O,No,Gold,Mineral,Gray,26.04,61,2020-12-09T08:00:00.000Z,1
6397,V,False,Cow,Animal,Black,30.67,86,2020-12-12T08:00:00.000Z,1
6398,G,Yes,Algae,Vegetable,Brown,10.29,54,2020-12-12T08:00:00.000Z,1
6399,I,True,Ruby,Mineral,Violet,92.44,19,2020-11-27T08:00:00.000Z,1
6400,Q,So,Whale,Animal,Pink,50.32,34,2020-12-04T08:00:00.000Z,1
6401,U,Maybe,Gold,Mineral,Violet,18.85,91,2020-12-17T08:00:00.000Z,1
6402,Y,Yes,Tree,Vegetable,Brown,87.21,24,2020-11-25T08:00:00.000Z,1
6403,K,No,Jade,Mineral,Black,46.43,77,2020-11-30T08:00:00.000Z,1
6404,H,Maybe,Zebra,Animal,White,14.67,25,2020-12-22T08:00:00.000Z,1
6405,Y,Yes,Cat,Animal,Gray,72.44,42,2020-12-09T08:00:00.000Z,1
6406,M,No,Horse,Animal,White,50.49,4,2020-12-02T08:00:00.000Z,1
6407,H,Maybe,Whale,Animal,Brown,7.55,87,2020-11-28T08:00:00.000Z,1
6408,V,False,Rhinoceros,Animal,Indigo,52.62,69,2020-12-06T08:00:00.000Z,1
6409,I,True,Algae,Vegetable,Purple,0.05,34,2020-12-18T08:00:00.000Z,1
6410,Z,Yes,Cactus,Vegetable,Pink,92.71,54,2020-12-03T08:00:00.000Z,1
6411,X,Yes,Insect,Animal,Violet,57.98,92,2020-12-21T08:00:00.000Z,1
6412,B,True,Horse,Animal,Purple,73.03,42,2020-11-27T08:00:00.000Z,1
6413,N,False,Lead,Mineral,Gray,25.19,37,2020-11-24T08:00:00.000Z,1
6414,H,True,Fern,Vegetable,Blue,95.98,97,2020-12-08T08:00:00.000Z,1
6415,P,False,Cougar,Animal,Black,90.87,27,2020-12-08T08:00:00.000Z,1
6416,B,Yes,Jade,Mineral,White,90.89,37,2020-12-04T08:00:00.000Z,1
6417,N,No,Snake,Animal,Blue,82.19,16,2020-12-12T08:00:00.000Z,1
6418,E,So,Snake,Animal,Blue,13.6,29,2020-11-29T08:00:00.000Z,1
6419,K,So,Algae,Vegetable,Orange,58.16,50,2020-12-03T08:00:00.000Z,1
6420,E,True,Frog,Animal,Brown,30.68,62,2020-12-01T08:00:00.000Z,1
6421,L,Maybe,Elephant,Animal,White,13.38,14,2020-12-13T08:00:00.000Z,1
6422,K,So,Flower,Vegetable,Pink,53.4,89,2020-12-22T08:00:00.000Z,1
6423,B,So,Fern,Vegetable,Violet,6,53,2020-12-15T08:00:00.000Z,1
6424,C,No,Turtle,Animal,Pink,26.97,100,2020-12-08T08:00:00.000Z,1
6425,V,No,Eagle,Animal,Indigo,54.59,93,2020-12-05T08:00:00.000Z,1
6426,I,No,Turtle,Animal,Pink,75.17,94,2020-12-07T08:00:00.000Z,1
6427,L,True,Jade,Mineral,Violet,39.63,46,2020-11-25T08:00:00.000Z,1
6428,Q,False,Zebra,Animal,Black,64.87,31,2020-11-26T08:00:00.000Z,1
6429,U,No,Fern,Vegetable,Violet,73.29,43,2020-12-02T08:00:00.000Z,1
6430,I,So,Diamond,Mineral,Pink,83.54,61,2020-12-06T08:00:00.000Z,1
6431,B,Maybe,Gold,Mineral,Black,26.33,67,2020-12-15T08:00:00.000Z,1
6432,U,No,Pig,Animal,Orange,18.56,47,2020-12-14T08:00:00.000Z,1
6433,I,False,Snake,Animal,Indigo,50.74,35,2020-12-11T08:00:00.000Z,1
6434,P,Maybe,Ruby,Mineral,Red,2.55,60,2020-11-27T08:00:00.000Z,1
6435,K,So,Tree,Vegetable,Violet,97.74,79,2020-12-13T08:00:00.000Z,1
6436,W,True,Grass,Vegetable,Violet,24.01,57,2020-12-16T08:00:00.000Z,1
6437,X,Yes,Silver,Mineral,Red,47.76,40,2020-12-09T08:00:00.000Z,1
6438,L,Yes,Shark,Animal,Purple,59.39,64,2020-12-04T08:00:00.000Z,1
6439,T,Yes,Ruby,Mineral,Blue,39.01,41,2020-12-16T08:00:00.000Z,1
6440,S,True,Monkey,Animal,White,86.86,94,2020-11-24T08:00:00.000Z,1
6441,Y,So,Cactus,Vegetable,Black,36.3,33,2020-12-07T08:00:00.000Z,1
6442,Q,True,Snake,Animal,Indigo,38.26,39,2020-12-17T08:00:00.000Z,1
6443,T,Maybe,Algae,Vegetable,Gray,30.82,53,2020-12-15T08:00:00.000Z,1
6444,L,So,Pig,Animal,Blue,65.33,95,2020-12-07T08:00:00.000Z,1
6445,H,No,Jade,Mineral,Blue,71.08,29,2020-11-24T08:00:00.000Z,1
6446,G,Maybe,Elephant,Animal,Brown,16.55,56,2020-11-27T08:00:00.000Z,1
6447,V,So,Algae,Vegetable,Orange,2.94,92,2020-12-16T08:00:00.000Z,1
6448,B,No,Lead,Mineral,Blue,64.38,93,2020-12-12T08:00:00.000Z,1
6449,M,Yes,Grass,Vegetable,Red,93.89,43,2020-11-23T08:00:00.000Z,1
6450,H,True,Ruby,Mineral,Purple,56.1,55,2020-12-04T08:00:00.000Z,1
6451,L,So,Snake,Animal,Blue,37.47,53,2020-12-07T08:00:00.000Z,1
6452,D,Maybe,Silver,Mineral,Pink,13.44,21,2020-12-19T08:00:00.000Z,1
6453,N,False,Turtle,Animal,Black,5.69,32,2020-12-10T08:00:00.000Z,1
6454,H,Yes,Tree,Vegetable,Violet,7.78,82,2020-11-26T08:00:00.000Z,1
6455,A,True,Ruby,Mineral,Blue,0.42,6,2020-11-23T08:00:00.000Z,1
6456,S,So,Gold,Mineral,Brown,15.9,1,2020-12-13T08:00:00.000Z,1
6457,K,False,Deer,Animal,Violet,5.74,8,2020-12-21T08:00:00.000Z,1
6458,P,Yes,Squirrel,Animal,Green,4.34,42,2020-12-08T08:00:00.000Z,1
6459,O,False,Flower,Vegetable,Pink,39.47,28,2020-12-18T08:00:00.000Z,1
6460,L,True,Gold,Mineral,Orange,82.14,39,2020-12-12T08:00:00.000Z,1
6461,T,Maybe,Jade,Mineral,Green,99.05,88,2020-12-13T08:00:00.000Z,1
6462,I,Yes,Tree,Vegetable,Blue,8.06,11,2020-12-09T08:00:00.000Z,1
6463,S,True,Horse,Animal,Red,78.11,89,2020-12-05T08:00:00.000Z,1
6464,N,Maybe,Moss,Vegetable,Orange,9.16,43,2020-12-02T08:00:00.000Z,1
6465,A,Yes,Grass,Vegetable,Orange,86.76,16,2020-12-21T08:00:00.000Z,1
6466,D,So,Dog,Animal,Green,81.59,16,2020-11-27T08:00:00.000Z,1
6467,O,So,Deer,Animal,Indigo,92.06,49,2020-12-03T08:00:00.000Z,1
6468,X,True,Lead,Mineral,Violet,42.17,59,2020-12-17T08:00:00.000Z,1
6469,C,False,Silver,Mineral,Blue,51.63,96,2020-12-15T08:00:00.000Z,1
6470,A,Maybe,Lion,Animal,Gray,13.61,7,2020-11-26T08:00:00.000Z,1
6471,Z,Yes,Elephant,Animal,Violet,30.28,78,2020-12-05T08:00:00.000Z,1
6472,G,No,Algae,Vegetable,Purple,63.11,48,2020-12-21T08:00:00.000Z,1
6473,M,True,Monkey,Animal,Violet,92.72,11,2020-12-03T08:00:00.000Z,1
6474,C,So,Bear,Animal,Purple,9.24,74,2020-12-08T08:00:00.000Z,1
6475,V,No,Dog,Animal,Red,64.23,5,2020-11-29T08:00:00.000Z,1
6476,Q,Yes,Flower,Vegetable,Purple,61.21,87,2020-11-30T08:00:00.000Z,1
6477,T,Maybe,Ruby,Mineral,Green,35.32,54,2020-12-20T08:00:00.000Z,1
6478,J,Maybe,Hippopotamus,Animal,Indigo,14.58,80,2020-12-20T08:00:00.000Z,1
6479,R,Maybe,Deer,Animal,Gray,14.47,47,2020-11-24T08:00:00.000Z,1
6480,O,No,Moss,Vegetable,Brown,77.11,40,2020-12-06T08:00:00.000Z,1
6481,F,Maybe,Jade,Mineral,Orange,36.73,95,2020-11-25T08:00:00.000Z,1
6482,C,Maybe,Antelope,Animal,Pink,95.18,33,2020-12-12T08:00:00.000Z,1
6483,L,Maybe,Jade,Mineral,Indigo,45.88,100,2020-11-27T08:00:00.000Z,1
6484,D,True,Giraffe,Animal,Purple,25.19,10,2020-12-06T08:00:00.000Z,1
6485,I,False,Diamond,Mineral,Blue,44.9,73,2020-11-25T08:00:00.000Z,1
6486,S,False,Cougar,Animal,Pink,68.21,15,2020-12-05T08:00:00.000Z,1
6487,E,False,Fish,Animal,Violet,38.35,5,2020-12-19T08:00:00.000Z,1
6488,P,Maybe,Eagle,Animal,Indigo,66.89,66,2020-12-21T08:00:00.000Z,1
6489,K,Yes,Bear,Animal,Violet,97.55,65,2020-12-21T08:00:00.000Z,1
6490,G,Yes,Fern,Vegetable,Violet,82.67,7,2020-12-16T08:00:00.000Z,1
6491,E,So,Bat,Animal,Indigo,89.94,30,2020-12-06T08:00:00.000Z,1
6492,G,So,Quartz,Mineral,Green,63.36,47,2020-12-02T08:00:00.000Z,1
6493,P,False,Tree,Vegetable,Red,27.96,76,2020-12-18T08:00:00.000Z,1
6494,A,True,Algae,Vegetable,White,44.13,100,2020-12-18T08:00:00.000Z,1
6495,B,No,Flower,Vegetable,Purple,32.61,88,2020-12-01T08:00:00.000Z,1
6496,J,Yes,Squirrel,Animal,Black,34.24,40,2020-12-02T08:00:00.000Z,1
6497,Y,No,Monkey,Animal,Blue,56.54,100,2020-12-03T08:00:00.000Z,1
6498,V,True,Fern,Vegetable,Indigo,85.42,12,2020-12-13T08:00:00.000Z,1
6499,C,So,Beaver,Animal,Brown,18.25,10,2020-12-11T08:00:00.000Z,1
6500,T,True,Algae,Vegetable,Gray,93.74,56,2020-12-01T08:00:00.000Z,1
6501,Y,No,Grass,Vegetable,White,86.07,87,2020-12-08T08:00:00.000Z,1
6502,W,Yes,Sheep,Animal,Purple,50.57,9,2020-11-27T08:00:00.000Z,1
6503,D,So,Dog,Animal,Orange,13.44,53,2020-12-12T08:00:00.000Z,1
6504,Y,No,Gold,Mineral,Purple,83.33,52,2020-12-07T08:00:00.000Z,1
6505,E,No,Quartz,Mineral,Black,8.81,96,2020-12-18T08:00:00.000Z,1
6506,S,So,Deer,Animal,Purple,98.93,84,2020-12-07T08:00:00.000Z,1
6507,B,Maybe,Quartz,Mineral,Violet,23.54,3,2020-12-14T08:00:00.000Z,1
6508,Q,True,Grass,Vegetable,Violet,28.79,30,2020-12-16T08:00:00.000Z,1
6509,J,Maybe,Rabbit,Animal,Pink,42.91,8,2020-12-04T08:00:00.000Z,1
6510,W,So,Fish,Animal,Pink,18.56,95,2020-11-24T08:00:00.000Z,1
6511,R,Maybe,Lion,Animal,Indigo,90.9,77,2020-12-11T08:00:00.000Z,1
6512,I,Yes,Tree,Vegetable,Brown,60.72,85,2020-12-04T08:00:00.000Z,1
6513,U,Maybe,Zebra,Animal,Orange,80.24,90,2020-12-04T08:00:00.000Z,1
6514,V,Maybe,Flower,Vegetable,Purple,36.51,75,2020-11-26T08:00:00.000Z,1
6515,A,No,Pig,Animal,Orange,5.54,41,2020-12-13T08:00:00.000Z,1
6516,C,Maybe,Gold,Mineral,Brown,22.05,26,2020-12-19T08:00:00.000Z,1
6517,Q,Yes,Eagle,Animal,Pink,14.48,56,2020-11-29T08:00:00.000Z,1
6518,H,No,Gold,Mineral,Purple,45.4,69,2020-12-16T08:00:00.000Z,1
6519,V,So,Jade,Mineral,Pink,36.46,22,2020-11-26T08:00:00.000Z,1
6520,O,Maybe,Wolf,Animal,Black,24.22,6,2020-12-06T08:00:00.000Z,1
6521,W,No,Algae,Vegetable,Purple,7.38,27,2020-11-27T08:00:00.000Z,1
6522,L,No,Silver,Mineral,Red,4.01,64,2020-11-25T08:00:00.000Z,1
6523,T,Maybe,Giraffe,Animal,White,89.4,48,2020-12-05T08:00:00.000Z,1
6524,I,False,Diamond,Mineral,Brown,79.65,60,2020-11-26T08:00:00.000Z,1
6525,K,True,Lion,Animal,Violet,48.33,75,2020-12-22T08:00:00.000Z,1
6526,C,So,Quartz,Mineral,Orange,98.22,14,2020-12-05T08:00:00.000Z,1
6527,D,Yes,Moss,Vegetable,Brown,7.25,57,2020-11-26T08:00:00.000Z,1
6528,U,Maybe,Fern,Vegetable,Purple,93.26,34,2020-12-04T08:00:00.000Z,1
6529,L,True,Antelope,Animal,Pink,46.09,80,2020-11-26T08:00:00.000Z,1
6530,O,True,Tree,Vegetable,Indigo,60.63,23,2020-11-25T08:00:00.000Z,1
6531,L,No,Otter,Animal,Purple,13.45,79,2020-12-15T08:00:00.000Z,1
6532,X,True,Grass,Vegetable,Blue,68.71,94,2020-12-12T08:00:00.000Z,1
6533,N,So,Tree,Vegetable,Green,93.28,48,2020-12-07T08:00:00.000Z,1
6534,D,Yes,Gold,Mineral,Orange,60.7,12,2020-12-09T08:00:00.000Z,1
6535,I,So,Jade,Mineral,Violet,26.88,25,2020-12-14T08:00:00.000Z,1
6536,M,So,Algae,Vegetable,Red,70.8,97,2020-11-30T08:00:00.000Z,1
6537,J,No,Grass,Vegetable,Green,35.81,30,2020-12-14T08:00:00.000Z,1
6538,T,False,Fern,Vegetable,White,81.4,75,2020-11-29T08:00:00.000Z,1
6539,O,False,Silver,Mineral,Brown,51.24,35,2020-12-19T08:00:00.000Z,1
6540,V,So,Lead,Mineral,White,88.97,25,2020-12-08T08:00:00.000Z,1
6541,I,Maybe,Dog,Animal,Pink,79.62,98,2020-12-17T08:00:00.000Z,1
6542,V,So,Grass,Vegetable,Indigo,86.88,37,2020-12-04T08:00:00.000Z,1
6543,N,True,Cactus,Vegetable,Orange,96.34,11,2020-12-03T08:00:00.000Z,1
6544,W,True,Otter,Animal,Red,9.21,92,2020-12-16T08:00:00.000Z,1
6545,F,No,Antelope,Animal,Blue,13.49,31,2020-12-02T08:00:00.000Z,1
6546,W,So,Tree,Vegetable,Indigo,45.4,76,2020-12-21T08:00:00.000Z,1
6547,X,True,Tree,Vegetable,Brown,21.62,66,2020-12-16T08:00:00.000Z,1
6548,T,Yes,Diamond,Mineral,White,96.17,56,2020-11-29T08:00:00.000Z,1
6549,H,True,Zebra,Animal,White,5.79,19,2020-11-24T08:00:00.000Z,1
6550,I,True,Cactus,Vegetable,Orange,4.78,11,2020-12-02T08:00:00.000Z,1
6551,Q,Yes,Lead,Mineral,Green,22.32,98,2020-12-04T08:00:00.000Z,1
6552,L,Maybe,Lead,Mineral,Blue,69.89,14,2020-12-09T08:00:00.000Z,1
6553,F,No,Shark,Animal,Indigo,1.21,81,2020-12-23T08:00:00.000Z,1
6554,G,False,Snake,Animal,Blue,85.68,96,2020-12-10T08:00:00.000Z,1
6555,C,No,Jade,Mineral,Orange,69.46,18,2020-12-12T08:00:00.000Z,1
6556,C,False,Quartz,Mineral,Blue,24.47,29,2020-12-16T08:00:00.000Z,1
6557,A,False,Diamond,Mineral,Pink,96.93,23,2020-12-17T08:00:00.000Z,1
6558,N,No,Silver,Mineral,Gray,22.11,40,2020-12-17T08:00:00.000Z,1
6559,V,Maybe,Moss,Vegetable,Black,69.65,10,2020-12-22T08:00:00.000Z,1
6560,U,Yes,Quartz,Mineral,Red,69.53,79,2020-11-25T08:00:00.000Z,1
6561,S,No,Duck,Animal,Purple,54.17,26,2020-12-09T08:00:00.000Z,1
6562,J,Yes,Flower,Vegetable,Pink,81.05,1,2020-12-02T08:00:00.000Z,1
6563,V,Yes,Monkey,Animal,Blue,14.99,60,2020-12-10T08:00:00.000Z,1
6564,N,No,Zebra,Animal,Gray,92.3,62,2020-12-14T08:00:00.000Z,1
6565,W,No,Cat,Animal,Blue,7.7,58,2020-12-21T08:00:00.000Z,1
6566,C,So,Deer,Animal,Black,97.8,99,2020-12-08T08:00:00.000Z,1
6567,B,Maybe,Flower,Vegetable,Brown,23.27,13,2020-12-02T08:00:00.000Z,1
6568,U,True,Fern,Vegetable,Gray,51.93,32,2020-11-25T08:00:00.000Z,1
6569,A,So,Giraffe,Animal,Black,52.06,45,2020-12-23T08:00:00.000Z,1
6570,K,Maybe,Otter,Animal,Indigo,85.73,46,2020-12-05T08:00:00.000Z,1
6571,R,So,Grass,Vegetable,Blue,13.57,89,2020-12-16T08:00:00.000Z,1
6572,W,No,Lizard,Animal,Blue,22.26,71,2020-11-28T08:00:00.000Z,1
6573,K,Yes,Tiger,Animal,Pink,13.56,66,2020-12-02T08:00:00.000Z,1
6574,I,False,Zebra,Animal,Red,34.68,46,2020-12-22T08:00:00.000Z,1
6575,S,True,Fern,Vegetable,Red,77.28,2,2020-12-14T08:00:00.000Z,1
6576,P,Yes,Tree,Vegetable,Brown,1.3,45,2020-12-05T08:00:00.000Z,1
6577,L,True,Grass,Vegetable,Violet,42.55,76,2020-12-04T08:00:00.000Z,1
6578,O,So,Lead,Mineral,Pink,59.39,12,2020-12-22T08:00:00.000Z,1
6579,U,No,Elephant,Animal,Gray,20.14,2,2020-12-07T08:00:00.000Z,1
6580,K,True,Moss,Vegetable,Orange,67.57,35,2020-12-12T08:00:00.000Z,1
6581,X,True,Giraffe,Animal,Green,53.61,42,2020-12-19T08:00:00.000Z,1
6582,W,Maybe,Fern,Vegetable,Green,8.16,95,2020-12-17T08:00:00.000Z,1
6583,J,Yes,Dog,Animal,Green,75.43,88,2020-12-09T08:00:00.000Z,1
6584,D,Maybe,Rhinoceros,Animal,White,16.84,80,2020-11-25T08:00:00.000Z,1
6585,P,So,Cow,Animal,Red,75.84,42,2020-11-30T08:00:00.000Z,1
6586,P,False,Dog,Animal,White,3.28,7,2020-12-10T08:00:00.000Z,1
6587,I,So,Jade,Mineral,Pink,13.15,82,2020-12-19T08:00:00.000Z,1
6588,O,False,Silver,Mineral,Indigo,95.2,81,2020-12-14T08:00:00.000Z,1
6589,Y,No,Cougar,Animal,White,70.63,88,2020-11-28T08:00:00.000Z,1
6590,N,True,Wolf,Animal,White,60.5,81,2020-12-07T08:00:00.000Z,1
6591,Q,True,Tiger,Animal,Indigo,41.77,46,2020-12-15T08:00:00.000Z,1
6592,O,No,Insect,Animal,Pink,41.47,13,2020-12-09T08:00:00.000Z,1
6593,H,True,Monkey,Animal,Orange,15.14,67,2020-12-19T08:00:00.000Z,1
6594,V,Yes,Diamond,Mineral,Violet,94.9,26,2020-12-14T08:00:00.000Z,1
6595,E,True,Lead,Mineral,Black,78.21,54,2020-12-12T08:00:00.000Z,1
6596,S,True,Insect,Animal,Violet,99.08,54,2020-12-11T08:00:00.000Z,1
6597,U,No,Flower,Vegetable,Gray,2.75,50,2020-12-23T08:00:00.000Z,1
6598,J,So,Ruby,Mineral,Indigo,10.36,92,2020-12-18T08:00:00.000Z,1
6599,P,No,Ruby,Mineral,Purple,5.05,46,2020-12-23T08:00:00.000Z,1
6600,W,Maybe,Bird,Animal,Green,66.08,49,2020-12-06T08:00:00.000Z,1
6601,T,So,Tiger,Animal,Orange,49.88,29,2020-12-16T08:00:00.000Z,1
6602,O,True,Cougar,Animal,Brown,9.59,97,2020-11-28T08:00:00.000Z,1
6603,Z,No,Silver,Mineral,Pink,67.34,81,2020-12-21T08:00:00.000Z,1
6604,V,So,Fern,Vegetable,Blue,27.22,55,2020-12-11T08:00:00.000Z,1
6605,F,False,Sheep,Animal,Green,21.06,38,2020-11-29T08:00:00.000Z,1
6606,V,False,Diamond,Mineral,Purple,6.17,53,2020-12-04T08:00:00.000Z,1
6607,D,Maybe,Diamond,Mineral,Green,54.45,62,2020-12-20T08:00:00.000Z,1
6608,C,True,Algae,Vegetable,Brown,25.08,5,2020-12-12T08:00:00.000Z,1
6609,J,Maybe,Otter,Animal,Orange,44.94,72,2020-12-11T08:00:00.000Z,1
6610,Q,False,Grass,Vegetable,Red,76.45,36,2020-12-20T08:00:00.000Z,1
6611,G,Yes,Otter,Animal,Violet,78.26,58,2020-12-07T08:00:00.000Z,1
6612,K,No,Rhinoceros,Animal,Violet,71.76,37,2020-11-24T08:00:00.000Z,1
6613,E,Yes,Jade,Mineral,Black,82.3,66,2020-11-30T08:00:00.000Z,1
6614,U,So,Bird,Animal,Orange,95.97,42,2020-12-08T08:00:00.000Z,1
6615,G,No,Squirrel,Animal,White,14.69,63,2020-11-30T08:00:00.000Z,1
6616,H,So,Moss,Vegetable,Indigo,18.13,5,2020-12-12T08:00:00.000Z,1
6617,Z,False,Cat,Animal,Indigo,57.38,64,2020-12-15T08:00:00.000Z,1
6618,D,So,Jade,Mineral,Green,79.51,54,2020-12-05T08:00:00.000Z,1
6619,N,So,Diamond,Mineral,Purple,23.23,56,2020-11-27T08:00:00.000Z,1
6620,S,False,Frog,Animal,Black,84.53,86,2020-11-25T08:00:00.000Z,1
6621,I,No,Jade,Mineral,Black,47.19,69,2020-12-23T08:00:00.000Z,1
6622,K,Maybe,Gold,Mineral,Blue,68.79,65,2020-12-03T08:00:00.000Z,1
6623,F,Yes,Deer,Animal,Indigo,6.84,28,2020-11-25T08:00:00.000Z,1
6624,R,True,Cactus,Vegetable,Orange,48.81,12,2020-11-30T08:00:00.000Z,1
6625,H,False,Gold,Mineral,Black,37.19,95,2020-12-23T08:00:00.000Z,1
6626,Q,False,Squirrel,Animal,Indigo,83.12,14,2020-12-20T08:00:00.000Z,1
6627,L,Maybe,Ruby,Mineral,Purple,57.47,41,2020-11-25T08:00:00.000Z,1
6628,G,True,Moss,Vegetable,Orange,48.15,74,2020-12-12T08:00:00.000Z,1
6629,A,Yes,Quartz,Mineral,Gray,97.55,79,2020-12-22T08:00:00.000Z,1
6630,U,Yes,Fern,Vegetable,Violet,10.46,42,2020-11-27T08:00:00.000Z,1
6631,Z,So,Quartz,Mineral,Blue,67.6,96,2020-12-06T08:00:00.000Z,1
6632,E,Maybe,Grass,Vegetable,Indigo,68.3,29,2020-11-28T08:00:00.000Z,1
6633,O,So,Ruby,Mineral,Orange,10.98,76,2020-12-14T08:00:00.000Z,1
6634,Y,True,Bear,Animal,Purple,17.6,24,2020-12-06T08:00:00.000Z,1
6635,P,Maybe,Rhinoceros,Animal,Green,41.88,24,2020-12-21T08:00:00.000Z,1
6636,T,Yes,Cow,Animal,Black,30.67,54,2020-12-16T08:00:00.000Z,1
6637,P,So,Quartz,Mineral,Pink,68.04,12,2020-12-16T08:00:00.000Z,1
6638,C,So,Moss,Vegetable,Red,68.48,80,2020-12-11T08:00:00.000Z,1
6639,R,No,Tree,Vegetable,Green,75.27,81,2020-12-05T08:00:00.000Z,1
6640,R,Yes,Grass,Vegetable,Blue,29.69,3,2020-12-06T08:00:00.000Z,1
6641,X,True,Ruby,Mineral,Blue,31.59,22,2020-12-08T08:00:00.000Z,1
6642,A,So,Silver,Mineral,White,47.58,53,2020-12-18T08:00:00.000Z,1
6643,S,Maybe,Diamond,Mineral,Black,28.85,83,2020-11-27T08:00:00.000Z,1
6644,P,No,Flower,Vegetable,Pink,10.57,53,2020-11-26T08:00:00.000Z,1
6645,N,True,Flower,Vegetable,Pink,51.49,48,2020-12-19T08:00:00.000Z,1
6646,U,No,Jade,Mineral,Pink,67.62,81,2020-12-22T08:00:00.000Z,1
6647,H,True,Snake,Animal,Brown,42.58,71,2020-11-27T08:00:00.000Z,1
6648,A,Yes,Antelope,Animal,Purple,85.66,12,2020-12-16T08:00:00.000Z,1
6649,G,No,Ruby,Mineral,Brown,62.87,37,2020-12-14T08:00:00.000Z,1
6650,I,False,Lion,Animal,Pink,61.94,1,2020-12-22T08:00:00.000Z,1
6651,I,Yes,Bear,Animal,Black,66.6,95,2020-12-04T08:00:00.000Z,1
6652,X,Maybe,Silver,Mineral,Red,45.14,46,2020-11-28T08:00:00.000Z,1
6653,M,No,Algae,Vegetable,Red,19.43,90,2020-12-22T08:00:00.000Z,1
6654,J,No,Frog,Animal,Gray,1.42,32,2020-12-04T08:00:00.000Z,1
6655,U,So,Cow,Animal,Brown,26.97,75,2020-12-19T08:00:00.000Z,1
6656,P,Maybe,Silver,Mineral,Black,4.65,36,2020-12-19T08:00:00.000Z,1
6657,S,Maybe,Hippopotamus,Animal,Green,5.95,4,2020-11-25T08:00:00.000Z,1
6658,M,Yes,Silver,Mineral,Gray,20.67,14,2020-12-18T08:00:00.000Z,1
6659,A,True,Grass,Vegetable,White,60.41,88,2020-12-19T08:00:00.000Z,1
6660,H,Maybe,Diamond,Mineral,Green,48.82,45,2020-12-20T08:00:00.000Z,1
6661,D,Yes,Silver,Mineral,Pink,0.13,89,2020-11-28T08:00:00.000Z,1
6662,S,False,Jade,Mineral,Gray,95.13,77,2020-12-15T08:00:00.000Z,1
6663,C,Yes,Tree,Vegetable,Pink,92.85,32,2020-12-09T08:00:00.000Z,1
6664,H,No,Giraffe,Animal,Pink,46.31,19,2020-12-02T08:00:00.000Z,1
6665,A,False,Diamond,Mineral,Indigo,86.62,6,2020-12-04T08:00:00.000Z,1
6666,Z,Yes,Eagle,Animal,White,14.45,55,2020-12-06T08:00:00.000Z,1
6667,E,False,Ruby,Mineral,Gray,23.87,5,2020-11-26T08:00:00.000Z,1
6668,B,Yes,Tree,Vegetable,Pink,26.22,96,2020-11-27T08:00:00.000Z,1
6669,Q,True,Silver,Mineral,Black,74.55,36,2020-12-13T08:00:00.000Z,1
6670,G,So,Algae,Vegetable,Indigo,61.49,17,2020-12-16T08:00:00.000Z,1
6671,W,Yes,Lead,Mineral,Purple,61.95,97,2020-12-09T08:00:00.000Z,1
